year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,849624,2323282,20210113,,DEMOCRAT
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1441170,2323282,20210113,,REPUBLICAN
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,25176,2323282,20210113,,LIBERTARIAN
2020,ALABAMA,AL,1,63,41,US PRESIDENT,,,True,7312,2323282,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,153778,359530,20210113,,DEMOCRAT
2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,189951,359530,20210113,,REPUBLICAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,8897,359530,20210113,,LIBERTARIAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,318,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,825,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,False,2673,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1127,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,,,True,1961,359530,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1672143,3387326,20210113,,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1661686,3387326,20210113,,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,51465,3387326,20210113,,LIBERTARIAN
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,190,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,True,36,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,236,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,13,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1557,3387326,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,1713,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,2108,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,423932,1219069,20210113,,DEMOCRAT
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,2980,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,2141,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"GAMMON, C. L.",INDEPENDENT,False,1475,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,4099,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"COLLINS, PHIL",INDEPENDENT,False,2812,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,False,1321,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,13133,1219069,20210113,,LIBERTARIAN
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"MYERS, JOHN RICHARD",LIFE AND LIBERTY PARTY,False,1372,1219069,20210113,,OTHER
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,760647,1219069,20210113,,REPUBLICAN
2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,1336,1219069,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,11110250,17500881,20210113,,DEMOCRAT
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,6006429,17500881,20210113,,REPUBLICAN
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,187895,17500881,20210113,,LIBERTARIAN
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,81029,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,False,60160,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,False,51037,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,2605,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",INDEPENDENT,True,611,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,MARK CHARLES,INDEPENDENT,True,559,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,185,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,JOSEPH KISHORE,INDEPENDENT,True,121,17500881,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1804352,3279980,20210113,,DEMOCRAT
2020,COLORADO,CO,8,84,62,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1364607,3279980,20210113,,REPUBLICAN
2020,COLORADO,CO,8,84,62,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,52460,3279980,20210113,,LIBERTARIAN
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,8986,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,1035,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,636,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,572,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,8089,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,5061,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAMMONS, BILL",UNITY PARTY,False,2730,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUBER, BLAKE",APPROVAL VOTING PARTY,False,355,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,25515,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,False,2011,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"COLLINS, PHIL",PROHIBITION PARTY,False,568,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUNTER, PHIL",PROGRESSIVE PARTY,False,379,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,False,495,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS PARTY,False,354,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KISHORE, JOSEPH",SOCIALIST EQUALITY PARTY,False,196,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN PARTY,False,762,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"MCHUGH, JOE",INDEPENDENT,False,614,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"SCOTT, JORDAN ""CANCER""",INDEPENDENT,False,175,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CELLA, TODD",INDEPENDENT,False,4,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,False,24,3279980,20210113,,OTHER
